Timestamp,1.  Do you use Video Streaming Platform?,2. How frequently you watch or stream online platforms ?,3. Which of the following Video Streaming Platform do you currently use?,4. What do you watch the most on video streaming platform? ,5. Which type of web series or movies do you prefer most?,6.  Have you watch or familiar with these original web series of Netflix.,7. Have you watch or familiar with these original web series of Amazon  Prime.,8. Have you watch or familiar with these original web series of Hotstar.,9. Have you watch or familiar with these original web series of Hulu.,10. What is your age?,11. From where did you get the idea of these web series.,12. On what basis you frequently choose your movies or web series.,13. How long you are using these video streaming platforms.,14. Choose the features which you think is essential on your streaming platforms.,15. How was your overall experience of video streaming platforms according to original web series.,16. Would you like to give any suggestion for the improvement.
3/6/2021 22:47,Yes,Once or twice in a week,Prime,Original web series,Action,Sacred Games,Mirzapur,Special OPS,The Ultimate Playlist of Noise,18-30,Family/Friends Recommendation,Director,Between 1 and 2 years,Recommendation,Good,Good
3/6/2021 22:50,Yes,Daily,"Netflix, Prime, Hotstar",Movies,Horror,Stranger things. ,Made in heaven,"Hostages, Criminal Justice",None of the above,18-30,Self preference,"Cast, Story",More than 2 years,"Search option, Recommendation, Ease of use, Accessibility",Improvement Needed,Famous stuff are not available
3/8/2021 21:04,Yes,Daily,"Prime, Hotstar",Original web series,"Action, Drama, Comedy, Others",None of the above,"Mirzapur, Made in heaven","Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,More than 2 years,"Search option, Recommendation, Ease of use",Excellent,Need more web series
3/8/2021 21:06,Yes,Once or twice in a week,Hotstar,Original web series,Drama,None of the above,None of the above,"Arya, City of dreams",None of the above,31-50,"Television, Social Media","Cast, Story",Less than 1 year,"Search option, Ease of use",Excellent,No
3/8/2021 21:07,Yes,Once or twice in a week,"Prime, Hotstar","Original web series, Movies, Others","Drama, Comedy",None of the above,"Mirzapur, Tandav","Hostages, Criminal Justice, Arya",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story",Less than 1 year,"Search option, Recommendation, Ease of use",Good,None
3/9/2021 16:49,Yes,Daily,"Netflix, Prime, Hotstar",Original web series,"Action, Drama","Sacred Games, 13 Reasons Why, The Witcher","Mirzapur, Tandav",Criminal Justice,Monsterland,31-50,"Family/Friends Recommendation, Social Media","Cast, Story",More than 2 years,Recommendation,Good,No
3/9/2021 16:51,Yes,Once or twice in a week,Netflix,Original web series,"Action, Drama, Horror","Sacred Games, 13 Reasons Why, The Witcher, Money Heist",Mirzapur,None of the above,"Helstorm, Monsterland",31-50,Social Media,"Cast, Story, Director",More than 2 years,"Search option, Recommendation",Excellent,Need more web series
3/9/2021 16:53,Yes,Monthly,Hotstar,"Original web series, Movies, Documentaries","Drama, Comedy",None of the above,None of the above,"Arya, City of dreams",None of the above,31-50,"Television, Social Media","Cast, Director",Between 1 and 2 years,Ease of use,Good,..
3/9/2021 16:56,Yes,Daily,"Prime, Hotstar","Original web series, Documentaries","Drama, Others",None of the above,"Mirzapur, Made in heaven, Tandav","Hostages, Criminal Justice, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Good,More language availability
3/9/2021 16:57,Yes,Once or twice in a week,"Netflix, Prime","Original web series, Movies","Action, Drama","Sacred Games, 13 Reasons Why, The Witcher, Money Heist","Mirzapur, Made in heaven, Tandav, Breath into the shadow ",Arya,"Woke, The Ultimate Playlist of Noise",18-30,Social Media,"Cast, Story",More than 2 years,Recommendation,Good,.
3/9/2021 17:01,Yes,Daily,"Netflix, Prime, Hotstar, Hulu",Original web series,"Action, Drama, Comedy, Horror","13 Reasons Why, The Witcher, Money Heist","Mirzapur, Made in heaven","Special OPS, Criminal Justice","Helstorm, Monsterland, The Ultimate Playlist of Noise",18-30,"Family/Friends Recommendation, Social Media","Cast, Story, Director",More than 2 years,Recommendation,Excellent,No
3/9/2021 17:02,Yes,Daily,"Netflix, Prime",Original web series,"Action, Drama","13 Reasons Why, The Witcher","Mirzapur, Tandav",Hostages,Monsterland,18-30,Social Media,Story,More than 2 years,Recommendation,Good,No
3/9/2021 18:20,Yes,Once or twice in a week,Hotstar,"Original web series, Movies","Action, Drama, Comedy, Horror, Others","Sacred Games, 13 Reasons Why, The Witcher","Mirzapur, Made in heaven, Tandav",Hostages,Monsterland,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Less than 1 year,Search option,Good,New series
3/9/2021 18:25,Yes,Daily,"Netflix, Hotstar",Original web series,"Action, Horror","13 Reasons Why, The Witcher, Money Heist",Mirzapur,"Hostages, Criminal Justice, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Less than 1 year,Recommendation,Good,Takes long time to release next season
3/9/2021 18:31,Yes,Once or twice in a week,"Netflix, Prime, Hotstar",Original web series,"Action, Drama","Sacred Games, 13 Reasons Why, Money Heist","Mirzapur, Made in heaven, Breath into the shadow ","Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Less than 1 year,Recommendation,Good,Nope
3/9/2021 18:35,Yes,Daily,"Netflix, Prime, Hotstar",Original web series,"Action, Comedy","Sacred Games, The Witcher",Mirzapur,"Special OPS, Arya",None of the above,18-30,Social Media,Story,Between 1 and 2 years,Recommendation,Fair,None
